"clip1_id"	"clip2_id"	"clip3_id"	"clip1_numvotes"	"clip2_numvotes"	"clip3_numvotes"	"clip1_mp3_path"	"clip2_mp3_path"	"clip3_mp3_path"
"42344"	"52148"	"53079"	"3"	"1"	"6"	"8/jacob_heringman-josquin_des_prez_lute_settings-10-da_ripa__part_ii_per_illud_ave-59-88.mp3"	"4/tim_rayborn-the_path_beyond-14-taqsim_ud-175-204.mp3"	"9/the_wretch-ambulatory-15-release-146-175.mp3"
"44925"	"17654"	"56325"	"2"	"0"	"0"	"0/american_bach_soloists-j_s__bach__cantatas_volume_v-11-weinen_klagen_sorgen_zagen_bwv_12_vi_aria__sei_getreu-30-59.mp3"	"8/hybris-the_first_words-04-final_trust-146-175.mp3"	"9/the_strap_ons-geeking_crime-20-pimps-59-88.mp3"
"25699"	"2619"	"15184"	"0"	"0"	"2"	"b/philharmonia_baroque-beethoven_symphonies_no_3_eroica_and_no_8-06-8_symph_3rd-117-146.mp3"	"4/jay_kishor-the_color_of_night-01-malkauns-1045-1074.mp3"	"4/seth_carlin-schubert__works_for_solo_fortepiano-03-sonata_in_eflat_major_opus_posth__122__menuetto_allegretto-30-59.mp3"
"2308"	"57629"	"44657"	"0"	"0"	"2"	"0/american_bach_soloists-joseph_haydn__masses-01-kyrie__allegro_moderato-146-175.mp3"	"c/magnatune-classical-24-la_primavera_robert_jones_sweet_kate-59-88.mp3"	"f/ehren_starks-lines_build_walls-10-tunnel_systems-88-117.mp3"
"45324"	"3858"	"13497"	"15"	"14"	"6"	"5/burnshee_thornside-rock_this_moon-11-city_girls-30-59.mp3"	"9/sitar-cd1_the_sowebo_concert-01-raga_maru_bihag_alapjay_kishor-2089-2118.mp3"	"6/electric_frankenstein-conquers_the_world-03-just_like_your_mom-0-29.mp3"
"10329"	"41054"	"6190"	"2"	"0"	"1"	"8/tim_rayborn-veils_of_light-02-tabak-204-233.mp3"	"d/jeff_wahl-guitarscapes-09-spanish_ballad-30-59.mp3"	"f/strojovna_07-dirnix-02-basetra_noje-204-233.mp3"
"8773"	"35753"	"41690"	"2"	"0"	"0"	"b/satori-journey_to_other_worlds-02-other_worlds-1596-1625.mp3"	"4/dj_cary-downtempo_chill_2-08-huan_ying_mr_gelatine-30-59.mp3"	"7/falik-elvolution-09-what_not_things_seem_are_they-0-29.mp3"
"46596"	"37337"	"26543"	"11"	"3"	"3"	"1/mijo-fata_morgana-11-relativity-88-117.mp3"	"9/wicked_boy-chemistry-08-slomo-233-262.mp3"	"6/strojovna_07-mirnix-06-d_a_r_k-146-175.mp3"
"8182"	"49371"	"58152"	"6"	"2"	"0"	"7/monoide-zeitpunkt-02-letzter_vorschlag-0-29.mp3"	"e/briddes_roune-lenten_is_come-12-worldes_blis-30-59.mp3"	"d/janine_johnson-telemann_harpsichord_solos_from_der_getreue_music_meister-26-suite_sarabande_pezold-88-117.mp3"
"55261"	"51409"	"44825"	"2"	"0"	"7"	"8/jacob_heringman-josquin_des_prez_lute_settings-18-newsidler__adieu_mes_amours-146-175.mp3"	"5/paul_beier-simone_molinaro-14-frais___gaillard__canzone_francese_a_quattro_di_clemens_non_papa-175-204.mp3"	"6/norine_braun-crow-10-wingsphoenix-59-88.mp3"
"7268"	"32689"	"51710"	"0"	"2"	"0"	"6/ed_martin-luis_milan__el_maestro-02-fantasia_2-117-146.mp3"	"e/burning_babylon-stereo_mash_up-07-parkton_special-175-204.mp3"	"1/tim_rayborn-qadim-14-perishde__santur_persian-59-88.mp3"
"3132"	"34171"	"16140"	"3"	"0"	"0"	"2/jamie_janover-evolutions-01-outer_cape-233-262.mp3"	"4/myles_cochran-marginal_street-07-wait_a_while-117-146.mp3"	"f/norine_braun-and_the_mood_swings-03-wounded_little_bird-204-233.mp3"
"47390"	"1628"	"17122"	"0"	"0"	"1"	"6/falik-streaks_and_strokes-11-xanthanon-146-175.mp3"	"8/magnatune-red_hat_summit_compilation-01-fluid__headphones-88-117.mp3"	"d/ambient_teknology-the_all_seeing_eye_project-04-confusion_says-175-204.mp3"
